cohort,kind,support,n_cols,divergence
mimic4,real,538,30,1.1470916442772712
mimic4,real,521,32,1.4966697192694427
mimic4,real,500,37,1.5450047134367446
mimic4,real,499,37,1.7446822542006015
mimic4,real,499,37,1.8516635279552789
mimic4,real,466,25,1.2601522614416305
mimic4,real,453,26,1.332577208168038
mimic4,real,432,36,2.112614465800506
mimic4,real,403,38,1.7176794109990658
mimic4,real,374,29,1.3642027448508691
mimic4,null,4568,25,0.6381491009610541
mimic4,null,3996,29,1.3052688150978287
mimic4,null,3012,32,0.6254898753287201
mimic4,null,2642,28,1.3232968537173275
mimic4,null,2295,39,1.192239295209908
mimic4,null,2261,38,0.9441256322375082
mimic4,null,1868,22,0.7138235634699329
mimic4,null,1681,35,1.1670922525958964
mimic4,null,1446,42,1.6516096727857958
mimic4,null,1287,39,1.1311598879072549
mimic4,null,1107,38,1.4998335277546655
mimic4,null,1095,34,0.8821368635662225
mimic4,null,1002,33,1.5714249048242641
mimic4,null,921,26,0.7834648060362898
mimic4,null,882,35,1.1908128973933028
mimic4,null,793,39,1.6050060339692709
mimic4,null,769,34,0.9375725560772386
mimic4,null,724,32,0.9291196752079527
mimic4,null,722,36,0.9808413181933466
mimic4,null,721,2,0.6542642583155662
mimic4,null,704,41,1.514630191993919
mimic4,null,696,29,1.0064479269662754
mimic4,null,674,31,1.2791828480682756
mimic4,null,646,38,1.367072246674613
mimic4,null,608,33,1.048267642928474
mimic4,null,601,35,1.3030730791665122
mimic4,null,594,36,1.8535173803753544
mimic4,null,581,40,1.0412690588696225
mimic4,null,578,26,1.2040052720744976
mimic4,null,577,35,1.8845078929002144
mimic4,null,538,30,1.5834817053909225
mimic4,null,521,32,1.5833957597365864
mimic4,null,500,37,1.3892263327676602
mimic4,null,499,37,1.546617044491401
mimic4,null,499,37,1.7851320932837853
mimic4,null,466,25,1.1853984212740858
mimic4,null,453,26,0.8253055205392595
mimic4,null,432,36,1.529805911999175
mimic4,null,403,38,1.1096737201993536
mimic4,null,374,29,1.4270881529790207
