dataset,site,n_site,panel,base_rate,n_panels,pooled_on_site,within_site,values_on_site
cand_mimic4_regime,7,4555,18,0.8952799121844127,22,0.8128570958551433,0.8124229516051257,0.5510069370544817
cand_mimic4_regime,8,3510,18,0.854985754985755,22,0.8294199903241161,0.8311839733841175,0.5555080199200136
cand_mimic4_regime,POOLED,33531,19,0.9645402761623573,22,0.9390226219266451,nan,0.5988368035085911
cand_mimic4_regime,0,5976,19,0.8507362784471219,22,0.8109118821732121,0.8098870588463587,0.5191341516337193
cand_mimic4_regime,1,3819,19,0.9787902592301649,22,0.9316198667010153,0.9138444669031436,0.5061645826314991
cand_mimic4_regime,2,6957,19,0.9859134684490442,22,0.9270376177880396,0.9200105031077892,0.5096633054738151
cand_mimic4_regime,3,5280,19,0.9948863636363636,22,0.9199364031840714,0.9058562655554852,0.5915103186186377
cand_mimic4_regime,6,690,19,0.9942028985507246,22,0.8081268221574344,0.4260204081632653,0.3117711370262391
cand_mimic4_regime,7,4555,19,0.9923161361141603,22,0.9464380530973452,0.9160493046776232,0.5563938053097346
cand_mimic4_regime,8,3510,19,0.9854700854700855,22,0.9413408612939249,0.9457113866072592,0.5604164186634469
cand_mimic4_regime,POOLED,33531,20,0.8511228415496108,22,0.8823883447055356,nan,0.5917369048405197
cand_mimic4_regime,0,5976,20,0.5249330655957162,22,0.8523569598413105,0.8486048585758971,0.5262828989585943
cand_mimic4_regime,1,3819,20,0.9342759884786593,22,0.7843859986064708,0.7912704562914263,0.49895485323280875
cand_mimic4_regime,2,6957,20,0.9312922236596234,22,0.8057389790381672,0.8035931664644254,0.5392061639761804
cand_mimic4_regime,3,5280,20,0.9409090909090909,22,0.7953930798133697,0.8006591544861473,0.5522823635368926
cand_mimic4_regime,4,2257,20,0.9986708019494904,22,0.39781129843241647,0.650399290150843,0.591762792073351
cand_mimic4_regime,6,690,20,0.9478260869565217,22,0.7073139653414883,0.6515035677879715,0.4685482500849473
cand_mimic4_regime,7,4555,20,0.8801317233809001,22,0.7689050369269875,0.7682334710271852,0.5571635066521572
cand_mimic4_regime,8,3510,20,0.8564102564102564,22,0.7589401224007012,0.7434918522742874,0.5269513882288333
cand_mimic4_regime,POOLED,33531,21,0.842861829351943,22,0.9299792056378243,nan,0.6173091015247224
cand_mimic4_regime,0,5976,21,0.33032128514056225,22,0.9098613054161874,0.9177634460378727,0.550821283886932
cand_mimic4_regime,1,3819,21,0.9651741293532339,22,0.7768900003671686,0.7649570208755747,0.5377020957167743
cand_mimic4_regime,2,6957,21,0.9377605289636337,22,0.7531507399220926,0.7676898798254942,0.5106756293691936
cand_mimic4_regime,3,5280,21,0.9410984848484848,22,0.7913012445651787,0.80236631099958,0.42926077371018645
cand_mimic4_regime,4,2257,21,0.9968985378821444,22,0.6305079365079365,0.4816825396825397,0.5691746031746031
cand_mimic4_regime,6,690,21,0.9681159420289855,22,0.8090636908002178,0.7915419161676647,0.47295182362547633
cand_mimic4_regime,7,4555,21,0.9477497255762898,22,0.7551666948919944,0.7983942708424578,0.6052016359010595
cand_mimic4_regime,8,3510,21,0.9655270655270656,22,0.6986421797307283,0.6500649890628163,0.5471542594051244
